1973,1990,2007
Clarke,AL,0,28082,27289,26496
Clarke,GA,9,62053,88058,114063
Clarke,IA,14,7607,8301,8995
Clarke,MS,23,17172,17293,17414
Clarke,VA,45,9797,12079,14361
Clatsop,OR,36,29508,33436,37364
Clay,AL,0,12780,13284,13788
Clay,AR,3,20058,18096,16134
Clay,FL,8,31481,106752,182023
Clay,GA,9,3477,3342,3207
Clay,IA,14,18619,17654,16689
Clay,IL,12,15051,14472,13893
Clay,IN,13,22820,24734,26648
Clay,KS,15,9567,9126,8685
Clay,KY,16,19720,21725,23730
Clay,MN,22,46073,50454,54835
Clay,MO,24,96448,154200,211952
Clay,MS,23,21333,21151,20969
Clay,NC,32,4096,7167,10238
Clay,NE,26,7904,7117,6330
Clay,SD,40,13022,13193,13364
Clay,TN,41,6618,7244,7870
Clay,TX,42,8881,10000,11119
Clay,WV,47,9774,9947,10120
Clayton,GA,9,93321,182769,272217
Clayton,IA,14,20443,19064,17685
Clear Creek,CO,5,6308,7632,8956
Clearfield,PA,37,74856,78154,81452
Clearwater,ID,11,8739,8485,8231
Clearwater,MN,22,8403,8324,8245
Cleburne,AL,0,10748,12724,14700
Cleburne,AR,3,13633,19520,25407
Clermont,OH,34,108350,150920,193490
Cleveland,AR,3,6759,7764,8769
Cleveland,NC,32,71989,85221,98453
Cleveland,OK,35,112980,174716,236452
Clifton Forge,VA,45,9288,4644,0
Clinch,GA,9,5328,6160,6992
Clinton,IA,14,53131,51091,49051
Clinton,IL,12,31474,33962,36450
Clinton,IN,13,28325,31060,33795
Clinton,KY,16,8788,9162,9536
Clinton,MI,21,46517,58136,69755
Clinton,MO,24,12406,16650,20894
Clinton,NY,31,90105,86160,82215
Clinton,OH,34,28091,35581,43071
Clinton,PA,37,37323,37268,37213
Cloud,KS,15,12606,10994,9382
Coahoma,MS,23,35587,31565,27543
Coal,OK,35,5771,5740,5709
Cobb,GA,9,209967,450936,691905
Cochise,AZ,2,67970,97918,127866
Cochran,TX,42,5650,4369,3088
Cocke,TN,41,23073,29205,35337
Coconino,AZ,2,66762,97106,127450
Codington,SD,40,19230,22793,26356
Coffee,AL,0,33793,40293,46793
Coffee,GA,9,19435,29760,40085
Coffee,TN,41,29273,40507,51741
Coffey,KS,15,8362,8408,8454
Coke,TX,42,3269,3415,3561
Colbert,AL,0,49164,51876,54588
Cole,MO,24,53888,63793,73698
Coleman,TX,42,10800,9675,8550
Coles,IL,12,52331,51671,51011
Colfax,NE,26,8348,9161,9974
Colfax,NM,30,12626,12921,13216
Colleton,SC,39,30133,34518,38903
Collier,FL,8,77284,154568,315839
Collin,TX,42,133428,266856,730690
Collingsworth,TX,42,4134,3553,2972
Colonial Heights,VA,45,14342,16069,17796
Colorado,TX,42,16134,18400,20666
Colquitt,GA,9,28656,36735,44814
Columbia,AR,3,27031,25691,24351
Columbia,FL,8,17737,42861,67985
Columbia,GA,9,24538,66819,109100
Columbia,NY,31,63733,63048,62363
Columbia,OR,36,26622,37809,48996
Columbia,PA,37,61904,63315,64726
Columbia,WA,46,4054,4020,3986
Columbia,WI,48,35066,45173,55280
Columbiana,OH,34,108302,108500,108698
Columbus,NC,32,45072,49559,54046
Colusa,CA,4,11368,16335,21302
Comal,TX,42,25967,51935,105187
Comanche,KS,15,2706,2297,1888
Comanche,OK,35,109135,111473,113811
Comanche,TX,42,13209,13375,13541
Concho,TX,42,2569,3084,3599
Concordia,LA,17,22516,20787,19058
Conecuh,AL,0,14924,14042,13160
Conejos,CO,5,6884,7479,8074
Contra Costa,CA,4,598994,809317,1019640
Converse,WY,49,9270,11069,12868
Conway,AR,3,17602,19171,20740
Cook,GA,9,10502,13467,16432
Cook,IL,12,4933941,5109524,5285107
Cook,MN,22,2354,3876,5398
Cooke,TX,42,23542,31014,38486
Cooper,MO,24,12123,14833,17543
Coos,NH,28,37014,34893,32772
Coos,OR,36,57377,60441,63505
Coosa,AL,0,11278,11071,10864
Copiah,MS,23,25945,27631,29317
Corson,SD,40,4133,4169,4205
Cortland,NY,31,49885,49127,48369
Coryell,TX,42,56526,64341,72156
Coshocton,OH,34,34561,35451,36341
Costilla,CO,5,3057,3183,3309
Cottle,TX,42,2832,2221,1610
Cotton,OK,35,6979,6639,6299
Cottonwood,MN,22,13955,12652,11349
Covington,AL,0,36031,36519,37007
Covington,MS,23,12779,16570,20361
Covington,VA,45,8496,7332,6168
Coweta,GA,9,27243,54487,118936
Cowley,KS,15,39615,36933,34251
Cowlitz,WA,46,64489,82478,100467
Craig,OK,35,12943,14069,15195
Craig,VA,45,3631,4386,5141
Craighead,AR,3,47160,69356,91552
Crane,TX,42,5386,4624,3862
Craven,NC,32,67516,82131,96746
Crawford,AR,3,26505,42768,59031
Crawford,GA,9,5659,9071,12483
Crawford,IA,14,16895,16737,16579
Crawford,IL,12,19169,19390,19611
Crawford,IN,13,9056,9919,10782
Crawford,KS,15,32296,35578,38860
Crawford,MI,21,10088,12319,14550
Crawford,MO,24,14400,19238,24076
Crawford,OH,34,51411,47819,44227
Crawford,PA,37,83747,86205,88663
Crawford,WI,48,14864,15931,16998
Creek,OK,35,52553,60813,69073
Crenshaw,AL,0,13391,13598,13805
Crisp,GA,9,17919,20022,22125
Crittenden,AR,3,47815,49959,52103
Crittenden,KY,16,9244,9187,9130
Crockett,TN,41,12551,13392,14233
Crockett,TX,42,4345,4067,3789
Crook,OR,36,5610,14258,22906
Crook,WY,49,4320,5302,6284
Crosby,TX,42,8346,7328,6310
Cross,AR,3,19779,19232,18685
Crow Wing,MN,22,27300,44474,61648
Crowley,CO,5,1249,3946,6643
Culberson,TX,42,4328,3406,2484
Cullman,AL,0,55096,67825,80554
Culpeper,VA,45,10469,28096,45723
Cumberland,IL,12,10542,10692,10842
Cumberland,KY,16,6680,6778,6876
Cumberland,ME,18,212356,243865,275374
Cumberland,NC,32,245150,275834,306518
Cumberland,NJ,29,121188,138366,155544
Cumberland,PA,37,163887,195953,228019
Cumberland,TN,41,16954,34997,53040
Cumberland,VA,45,6072,7849,9626
Cuming,NE,26,10853,10109,9365
Currituck,NC,32,3638,13799,23960
Curry,NM,30,39320,42324,45328
Curry,OR,36,17131,19449,21767
Custer,CO,5,971,1942,4025
Custer,ID,11,4162,4164,4166
Custer,MT,25,12180,11684,11188
Custer,NE,26,13705,12277,10849
Custer,OK,35,27517,26814,26111
Custer,SD,40,4514,6166,7818
Cuyahoga,OH,34,1528768,1412363,1295958
Dade,GA,9,10266,13182,16098
Dade,MO,24,7349,7436,7523
Daggett,UT,43,471,699,927
Dakota,MN,22,165254,277866,390478
Dakota,NE,26,13346,16829,20312
Dale,AL,0,51050,49600,48150
Dallam,TX,42,4767,5446,6125
Dallas,AL,0,52951,48015,43079
Dallas,AR,3,10961,9605,8249
Dallas,IA,14,2520,29904,57288
Dallas,MO,24,8625,12728,16831
Dallas,TX,42,1360581,1863546,2366511
Dane,WI,48,260103,368444,476785
Daniels,MT,25,2842,2246,1650
Danville,VA,45,61387,53167,44947
Dare,NC,32,12082,22929,33776
Darke,OH,34,55031,53618,52205
Darlington,SC,39,57199,62016,66833
Dauphin,PA,37,221450,238580,255710
Davidson,NC,32,97820,127175,156530
Davidson,TN,41,404652,512139,619626
Davie,NC,32,15548,28032,40516
Daviess,IN,13,25137,27586,30035
Daviess,KY,16,80772,87264,93756
Daviess,MO,24,7757,7860,7963
Davis,IA,14,8070,8321,8572
Davis,UT,43,89536,188841,288146
Davison,SD,40,16038,17529,19020
Dawes,NE,26,9126,8972,8818
